n,G_score,pred,truth
367,1.669412219581607,COMPOSITE,PRIME
368,1.8358300027522023,COMPOSITE,COMPOSITE
369,1.8358300027522023,COMPOSITE,COMPOSITE
370,1.8358300027522023,COMPOSITE,COMPOSITE
371,1.8358300027522023,COMPOSITE,COMPOSITE
372,1.8358300027522023,COMPOSITE,COMPOSITE
373,1.6744824288442792,COMPOSITE,PRIME
374,1.8358300027522023,COMPOSITE,COMPOSITE
375,1.8358300027522023,COMPOSITE,COMPOSITE
376,1.8358300027522023,COMPOSITE,COMPOSITE
377,1.8358300027522023,COMPOSITE,COMPOSITE
378,1.8358300027522023,COMPOSITE,COMPOSITE
379,1.6793280747908772,COMPOSITE,PRIME
380,1.8358300027522023,COMPOSITE,COMPOSITE
381,1.8358300027522023,COMPOSITE,COMPOSITE
382,1.8358300027522023,COMPOSITE,COMPOSITE
383,1.6824401285372748,COMPOSITE,PRIME
384,1.8358300027522023,COMPOSITE,COMPOSITE
385,1.8358300027522023,COMPOSITE,COMPOSITE
386,1.8358300027522023,COMPOSITE,COMPOSITE
387,1.8358300027522023,COMPOSITE,COMPOSITE
388,1.8358300027522023,COMPOSITE,COMPOSITE
389,1.686939604687375,COMPOSITE,PRIME
390,1.8358300027522023,COMPOSITE,COMPOSITE
391,1.8358300027522023,COMPOSITE,COMPOSITE
392,1.8358300027522023,COMPOSITE,COMPOSITE
393,1.8358300027522023,COMPOSITE,COMPOSITE
394,1.8358300027522023,COMPOSITE,COMPOSITE
395,1.8358300027522023,COMPOSITE,COMPOSITE
396,1.8358300027522023,COMPOSITE,COMPOSITE
397,1.6926417103139662,COMPOSITE,PRIME
398,1.8358300027522023,COMPOSITE,COMPOSITE
399,1.8358300027522023,COMPOSITE,COMPOSITE
400,1.8358300027522023,COMPOSITE,COMPOSITE
401,1.6953724399162697,COMPOSITE,PRIME
402,1.8358300027522023,COMPOSITE,COMPOSITE
403,1.8358300027522023,COMPOSITE,COMPOSITE
404,1.8358300027522023,COMPOSITE,COMPOSITE
405,1.8358300027522023,COMPOSITE,COMPOSITE
406,1.8358300027522023,COMPOSITE,COMPOSITE
407,1.8358300027522023,COMPOSITE,COMPOSITE
408,1.8358300027522023,COMPOSITE,COMPOSITE
409,1.7006077800857953,COMPOSITE,PRIME
410,1.8358300027522023,COMPOSITE,COMPOSITE
411,1.8358300027522023,COMPOSITE,COMPOSITE
412,1.8358300027522023,COMPOSITE,COMPOSITE
413,1.8358300027522023,COMPOSITE,COMPOSITE
414,1.8358300027522023,COMPOSITE,COMPOSITE
415,1.8358300027522023,COMPOSITE,COMPOSITE
416,1.8358300027522023,COMPOSITE,COMPOSITE
417,1.8358300027522023,COMPOSITE,COMPOSITE
418,1.8358300027522023,COMPOSITE,COMPOSITE
419,1.70675550031515,COMPOSITE,PRIME
420,1.8358300027522023,COMPOSITE,COMPOSITE
421,1.7079353015990737,COMPOSITE,PRIME
422,1.8358300027522023,COMPOSITE,COMPOSITE
423,1.8358300027522023,COMPOSITE,COMPOSITE
424,1.8358300027522023,COMPOSITE,COMPOSITE
425,1.8358300027522023,COMPOSITE,COMPOSITE
426,1.8358300027522023,COMPOSITE,COMPOSITE
427,1.8358300027522023,COMPOSITE,COMPOSITE
428,1.8358300027522023,COMPOSITE,COMPOSITE
429,1.8358300027522023,COMPOSITE,COMPOSITE
430,1.8358300027522023,COMPOSITE,COMPOSITE
431,1.7136013739822427,COMPOSITE,PRIME
432,1.8358300027522023,COMPOSITE,COMPOSITE
433,1.7146898818047036,COMPOSITE,PRIME
434,1.8358300027522023,COMPOSITE,COMPOSITE
